kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3513,Probolinggo,2021,4.55,0.39,822876,1182298,69.59971174779962,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3513,Probolinggo,2022,3.25,0.37,825415,1188469,69.45195878058242,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3513,Probolinggo,2023,3.24,0.77,827380,1194358,69.27403676284665,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3513,Probolinggo,2024,3.0,0.75,828799,1199954,69.06923098718785,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3513,Probolinggo,2025,2.92,0.73,829416,1205240,68.81749693007202,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3514,Pasuruan,2018,5.94,0.83,1156158,1616835,71.50748221061518,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2019,5.22,0.81,1163366,1628430,71.4409584692004,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2020,6.24,0.58,1169998,1639550,71.36092220426336,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2021,6.03,0.48,1176038,1650256,71.26397358955217,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2022,5.91,0.46,1181482,1660602,71.14781266070979,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2023,5.48,0.86,1186134,1670573,71.00162638807164,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2024,5.02,0.84,1190019,1680154,70.8279717216398,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3514,Pasuruan,2025,4.22,0.82,1192766,1689318,70.60636304117993,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
