kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten NGANJUK,25-29,36191,37206,73397
Kabupaten NGANJUK,30-34,40302,39979,80281
Kabupaten NGANJUK,35-39,36147,34588,70735
Kabupaten NGANJUK,40-44,41291,41804,83095
Kabupaten NGANJUK,45-49,37298,38243,75541
Kabupaten NGANJUK,50-54,35842,42535,78377
Kabupaten NGANJUK,55-59,33817,30203,64020
Kabupaten NGANJUK,60-64,27341,30997,58338
Kabupaten NGANJUK,65-69,28537,26324,54861
Kabupaten NGANJUK,70-74,17341,19165,36506
Kabupaten NGANJUK,75+,15441,21297,36738
Kabupaten MADIUN,0-4,24031,20056,44087
Kabupaten MADIUN,5-9,19573,21368,40941
Kabupaten MADIUN,10-14,22643,20832,43475
Kabupaten MADIUN,15-19,20630,19835,40465
Kabupaten MADIUN,20-24,18457,18579,37036
Kabupaten MADIUN,25-29,18433,17981,36414
Kabupaten MADIUN,30-34,22536,22494,45030
Kabupaten MADIUN,35-39,23099,22912,46011
Kabupaten MADIUN,40-44,24292,25815,50107
Kabupaten MADIUN,45-49,27924,28833,56757
Kabupaten MADIUN,50-54,28117,28868,56985
Kabupaten MADIUN,55-59,25315,26202,51517
Kabupaten MADIUN,60-64,23101,22351,45452
Kabupaten MADIUN,65-69,15432,18488,33920
Kabupaten MADIUN,70-74,12090,15363,27453
Kabupaten MADIUN,75+,12971,17904,30875
Kabupaten MAGETAN,0-4,17667,19258,36925
Kabupaten MAGETAN,5-9,19937,17069,37006
Kabupaten MAGETAN,10-14,18297,17452,35749
Kabupaten MAGETAN,15-19,21703,20147,41850
Kabupaten MAGETAN,20-24,16443,16511,32954
Kabupaten MAGETAN,25-29,17492,16822,34314
Kabupaten MAGETAN,30-34,19125,19934,39059
Kabupaten MAGETAN,35-39,21156,19937,41093
Kabupaten MAGETAN,40-44,20769,25199,45968
Kabupaten MAGETAN,45-49,23454,21341,44795
Kabupaten MAGETAN,50-54,24549,30336,54885
Kabupaten MAGETAN,55-59,24117,23567,47684
Kabupaten MAGETAN,60-64,20260,22532,42792
Kabupaten MAGETAN,65-69,18945,18849,37794
Kabupaten MAGETAN,70-74,11469,14422,25891
Kabupaten MAGETAN,75+,14917,23432,38349
Kabupaten NGAWI,0-4,25926,25673,51599
Kabupaten NGAWI,5-9,25604,23578,49182
Kabupaten NGAWI,10-14,25958,24863,50821
Kabupaten NGAWI,15-19,26995,29205,56200
Kabupaten NGAWI,20-24,21911,22156,44067
Kabupaten NGAWI,25-29,25148,27170,52318
